channel_id	name	weight
UCQJx7Ga6wHg_clu5rFnzu6Q	Ask Kimberly	2
UC3LqW4ijMoENQ2Wv17ZrFJA	PBS Idea Channel	12
UCH4BNI0-FOK2dMXoFtViWHw	It's Okay To Be Smart	19
UCU5n2CB2w4-D5AIaT0UOz4w	Husky	2
UCey_c7U86mJGz1VJWH5CYPA	iJustine	10
UCfw8x3VR-ElcaWW2Tg_jgSA	Rebecca Zamolo	6
UCIJwWYOfsCfz6PjxbONYXSg	blogilates	6
UCyC_4jvPzLiSkJkLIkA7B8g	Lindsey Stirling	11
UC7_YxT-KID8kRbqZo7MyscQ	Markiplier	6
UCR-QYzXrZF8yFarK8wZbHog	Colleen Ballinger	2
UC9TreTE-iXwfwQl72DzDurA	Kandee Johnson	9
UCUo7T81zvCqpPhfsPb_kajA	Juanpa Zurita	1
UCwtnkRZcvL4bfopzJ-Von8Q	merrelltwins	3
UCWrtsravWX0ANhHiJXNlyXw	TheSamTsui	2
UCxSz6JVYmzVhtkraHWZC7HQ	Liza Koshy	2
UCshoKvlZGZ20rVgazZp5vnQ	CaptainSparklez	10
UCSiBSzeyA4vlNzhOO6K7XSg	Dawin	1
UCSXeJsIZ-kde_u2HrM0l5yQ	TCU Highlights	1
UC8YrFWDu1zeOEMx_k_GIH4A	Triangle Content	2
UC1VNpqYmTBSqhBRAfpdAMkA	ChudzMcKenzie	1
UCxu3mVAacTdrLPfwTsAEUzg	The Good Stuff	2
UCdhMqFFPqKd54ZMcxzRq5Qg	Game Society Pimps	4
UCCpl-ac2Lj-dlA8EKPGHrYA	blamesociety2	6
UCuGocPxRXM48tbEgc5dhmfQ	GameSociety2	2
UCUQYeJ6D3qDlQkMboh-8-xw	MediocreFilms	8
UCtDDEvAb1gB3Kt-nJVlzSkw	Tona Williams	1
UCbxQcz9k0NRRuy0ukgQTDQQ	AustinMcConnell	1
UCvK4bOhULCpmLabd2pDMtnA	Yes Theory	2
UCLSh2s2hsYnyhgn_al4B2bw	Levi Hildebrand	3
UCAaegDUlb7doIKo0Rc1F08g	GTLive	2
UC3sznuotAs2ohg_U__Jzj_Q	The Film Theorists	7
UCuuwzVijgW6Z3sQ49pkisfw	Carf Darko	5
UCyS4xQE6DK4_p3qXQwJQAyA	DidYouKnowGaming?	21
UCs02eesk_kskNFkQv07Y3cw	Trailer Drake	3
UCxNcCtPqqGIMEDwDACPVoHg	Gaijin Goombah Media	5
UCMkhi-z4ytE2HSNBzQJnERg	DigressingNSQ	2
UC7gnV9U47_yawcpfOUnipSw	TheNationalDex	5
UC6-ymYjG0SU0jUWnWh9ZzEQ	Wisecrack	10
UCPYJR2EIu0_MJaDeSGwkIVw	The Completionist	17
UCN_wvdNEDPK_wHuhu8Ey_5A	Yuriofwind	4
UCB9_VH_CNbbH4GfKu8qh63w	DEATH BATTLE!	10
UC1wdop56K-ORxh37G6-fs7A	Pat the NES Punk	7
UC04ojh5l7fLL-_bzk3iMXcQ	Fear Pong	4
UCGSNrGWA-JF8giG6vdIicYw	Lineup	4
UCf_43RBfci8ZOAod1xcUCUA	Truth or Drink	4
UC3S42ZoH6A0UrZVZFajMpaw	Keep It 100	4
UCqa2MPu8bLY1PwVFUpSyVhQ	HiHo Kids	1
UCUKi4zY5ETSqrKAjTBgjM-g	sWooZie	4
UCY30JRSgfhYXA6i6xX1erWg	Smosh	12
UCZJZcjLDpBvlm_oq7a9PYMA	Mike Relm	2
UCvmil-2FYPtN3NGRZAubQ0w	Action Movie Dad	1
UCLd8MXvNErpFOuP1jjRMzgg	Imagine Dad	1
UCFFs_8ZAds27LsLfJyX7S4g	Eric Miller Animation	2
UC59ejpMDHCZESZid3Q4UGvg	Little Heroes	9
UCNYrK4tc5i1-eL8TXesH2pg	schmoyoho	8
UC33mB2wpioTCG4_nICJ3upQ	UCB Comedy	9
UCfAOh2t5DpxVrgS9NQKjC7A	The Onion	11
UCzS3-65Y91JhOxFiM7j6grg	Funny Or Die	15
UCNVBYBxWj9dMHqKEl_V8HBQ	Comedy Central Originals	12
UCwRH985XgMYXQ6NxXDo8npw	Dinge Erkl\xc3\xa4rt \xe2\x80\x93 Kurzgesagt	3
UCFiE5hu-b9jshyg1zMdZjfA	rick simpson	1
UCY2MmWeQEf_F7FWT5-MH0Jw	Epic Fireworks	1
UCmHlRvokjFiREW2Z5i02JcQ	Tom Lamb	1
UCDkbhd0D9JTBeutTwK9597w	Salesforce Sales Cloud	4
UCzTt1OpxXM1wbHz8s-bxj4Q	Salesforce Service Cloud	4
UCJTUa_frgMCc9KN4cWc36aw	Salesforce Marketing Cloud	4
UCSTGHqzR1Q9yAVbiS3dAFHg	Salesforce Commerce Cloud	3
UCQsYuU2nJY3lBUXDQjHRKFA	Salesforce Platform	3
UCKORm8sxh3cheBpqs0akkhg	Salesforce Developers	7
UC3P5WU4N3fYBhMorRPrlq2Q	Salesforce Releases	3
UCJZ40ShB_oLStzaYT4m9WWQ	Salesforce Admins	6
UC69jHIMxRPovBZcJpdfYGag	AppExchange	3
UCQbCuBc6i2WYf_wbk-XbWjg	Salesforce Essentials	2
UCv1hsDiYalwjR7aW2xgkwEg	Success Cloud	2
UCuTP1Q4mrEZWxeIUTFXsXrQ	Futureforce	3
UCbrOrrE0lOR2LcfycryZwHw	Salesforce Support	2
UC9Gfy8SldXUR-sbZCNISs-Q	Reclaiming Motherhood	6
UC3pV6eELigzhTjzBUPmT6_A	Derral Eves	6
UCovtFObhY9NypXcyHxAS7-Q	Roberto Blake	9
UCVOfW9GXHgj8YCnXNHKRnPA	Video Influencers	6
UCGxjDWAN1KwrkXYVi8CXtjQ	Think Media	6
UCl6vWwMCjufI8OPtOInHf0g	Social Blade	2
UCGgf_k1y-_d-4Eh922iCCJg	Interscope Records	1
UC20vb-R_px4CguHzzBPhoyQ	EminemVEVO	6
UC8g5kYW2ZLJPta700XDCt-g	YelawolfVEVO	3
UCeWSsy6hPAxThTS6QSAVwAA	YelaWolf	4
UC3gNmTGu-TTbFPpfSs5kNkg	Movieclips	16
UCUsN5ZwHx2kILm84-jPDeXw	Comedy Central	15
UCkRMqL3hLrIYhxNCac4vR3w	Art of Manliness	4
UCKy1dAqELo0zrOtPkf0eTMw	IGN	10
UCCxIjIp19PmZVBr7RdpBHTQ	FXX	7
UCM7Srv4mxJejt2NLmumkRRQ	WhatCulture	7
UCOpcACMWblDls9Z6GERVi1A	Screen Junkies	7
UCgPClNr5VSYC3syrDUIlzLw	Adult Swim	6
UCWvMmm_sSdgALpo1Ci4WvtQ	Collider Videos	7
UCe6_HAIg7aiCP3BQ6vFJV4Q	Step Up Movie	4
UCFEvqpi9mIsaCoXJijYWV3Q	Channing Tatum	1
UCa5R55NSXiWAZWi9997XYvg	NeYoVEVO	1
UCNaViWaQdOZVCPewLM19iIQ	Jenna Dewan	1
UCS_BD8cjFA8juZogPH5hEjg	Joey Graceffa	7
UCE4hoGDQruxi8_hUqB6tLVw	Joey Graceffa Vlogs	1
UCzpCc5n9hqiVC7HhPwcIKEg	Good Mythical MORE	4
UC8nhd-qEBMmFs-DkhBaQwww	Ear Biscuits	3
UCXGR70CkW_pXb8n52LzCCRw	Mythical	3
UCbochVIwBCzJb9I2lLGXGjQ	Rhett & Link	6
UC2gzy_aI-luPtEpL-GzQP6w	A Little Late With Lilly Singh	6
UCsl2vIAHvfb8r7ocg325GfQ	Lilly Singh Vlogs	3
UC5cdO1UKWYO_k0evsXohIIA	MOM BOSS OF 3	2
UC-vSh8UCm0tFaLYAIXqqKLA	Kingsley	3
UCap97Ue8K_BpKlrvQRYd6JA	LaurDIY	3
