source	target	interaction	directed
UC9M7-jzdU8CVrQo1JwmIdWA	UCVHFbqXqoYvEWM1Ddxl0QDg	pp	true
UC9M7-jzdU8CVrQo1JwmIdWA	UCL8ZULXASCc1I_oaOT0NaOQ	pp	true
UC9M7-jzdU8CVrQo1JwmIdWA	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true
UCBR8-60-B28hp2BmDPdntcQ	UCMDQxm7cUx3yXkfeHa5zJIQ	pp	true
UCBR8-60-B28hp2BmDPdntcQ	UCUZHFZ9jIKrLroW8LcyJEQQ	pp	true
UCBR8-60-B28hp2BmDPdntcQ	UCkRfArvrzheW2E7b6SVT7vQ	pp	true
UCBR8-60-B28hp2BmDPdntcQ	UCeNZlh03MyUkjRlLFpVQxsg	pp	true
UCBR8-60-B28hp2BmDPdntcQ	UCEN58iXQg82TXgsDCjWqIkg	pp	true
UCBR8-60-B28hp2BmDPdntcQ	UCtVd0c0tGXuTSbU5d8cSBUg	pp	true
UCBR8-60-B28hp2BmDPdntcQ	UCfFyYRYslvuhwMDnx6KjUvw	pp	true
UCUjlPym2cxucUVPdE8kYOOg	UC9M7-jzdU8CVrQo1JwmIdWA	pp	true
UCUjlPym2cxucUVPdE8kYOOg	UCVHFbqXqoYvEWM1Ddxl0QDg	pp	true
UCUjlPym2cxucUVPdE8kYOOg	UCrRK02_CbvPEPrDYMQ1l49w	pp	true
UCUjlPym2cxucUVPdE8kYOOg	UCL8ZULXASCc1I_oaOT0NaOQ	pp	true
UCUjlPym2cxucUVPdE8kYOOg	UCBR8-60-B28hp2BmDPdntcQ	pp	true
UCUjlPym2cxucUVPdE8kYOOg	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true
UCUjlPym2cxucUVPdE8kYOOg	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true
UCUjlPym2cxucUVPdE8kYOOg	UCyF-6wI0EoKAe7nZqlIOrOA	pp	true
UCUjlPym2cxucUVPdE8kYOOg	UCbmNph6atAoGfqLoCL_duAg	pp	true
