source	target	interaction	directed	name	weight
UCWIzrKzN4KY6BPU8hsk880Q	UCtyYTpFBzWdoSFx2Gl2VNbQ	pp	true	Google Cultural Institute	2
UCWIzrKzN4KY6BPU8hsk880Q	UCf4AIjSwE-E2TggCPdm-z-A	pp	true	Google Cultural Institute	2
UCMDQxm7cUx3yXkfeHa5zJIQ	UCkRfArvrzheW2E7b6SVT7vQ	pp	true	Life at Google	2
UCMDQxm7cUx3yXkfeHa5zJIQ	UCGg-UqjRgzhYDPJMr-9HXCg	pp	true	Life at Google	2
UCMDQxm7cUx3yXkfeHa5zJIQ	UCBR8-60-B28hp2BmDPdntcQ	pp	true	Life at Google	2
UCMDQxm7cUx3yXkfeHa5zJIQ	UCEN58iXQg82TXgsDCjWqIkg	pp	true	Life at Google	2
UCMDQxm7cUx3yXkfeHa5zJIQ	UCfFyYRYslvuhwMDnx6KjUvw	pp	true	Life at Google	2
UCMDQxm7cUx3yXkfeHa5zJIQ	UCeNZlh03MyUkjRlLFpVQxsg	pp	true	Life at Google	2
UCUZHFZ9jIKrLroW8LcyJEQQ	UCkRfArvrzheW2E7b6SVT7vQ	pp	true	TeamYouTube [Help]	9
UCUZHFZ9jIKrLroW8LcyJEQQ	UCMDQxm7cUx3yXkfeHa5zJIQ	pp	true	TeamYouTube [Help]	9
UCUZHFZ9jIKrLroW8LcyJEQQ	UCBR8-60-B28hp2BmDPdntcQ	pp	true	TeamYouTube [Help]	9
UCkRfArvrzheW2E7b6SVT7vQ	UCMDQxm7cUx3yXkfeHa5zJIQ	pp	true	[Inactive Creators Channel]	4
UCkRfArvrzheW2E7b6SVT7vQ	UCGg-UqjRgzhYDPJMr-9HXCg	pp	true	[Inactive Creators Channel]	4
UCkRfArvrzheW2E7b6SVT7vQ	UCBR8-60-B28hp2BmDPdntcQ	pp	true	[Inactive Creators Channel]	4
UCkRfArvrzheW2E7b6SVT7vQ	UCEN58iXQg82TXgsDCjWqIkg	pp	true	[Inactive Creators Channel]	4
UCkRfArvrzheW2E7b6SVT7vQ	UCqVDpXKLmKeBU_yyt_QkItQ	pp	true	[Inactive Creators Channel]	4
UCeNZlh03MyUkjRlLFpVQxsg	UCBR8-60-B28hp2BmDPdntcQ	pp	true	YouTube Creators	10
UCeNZlh03MyUkjRlLFpVQxsg	UCMDQxm7cUx3yXkfeHa5zJIQ	pp	true	YouTube Creators	10
UCeNZlh03MyUkjRlLFpVQxsg	UCUZHFZ9jIKrLroW8LcyJEQQ	pp	true	YouTube Creators	10
UCeNZlh03MyUkjRlLFpVQxsg	UCkRfArvrzheW2E7b6SVT7vQ	pp	true	YouTube Creators	10
UCeNZlh03MyUkjRlLFpVQxsg	UCEN58iXQg82TXgsDCjWqIkg	pp	true	YouTube Creators	10
UCeNZlh03MyUkjRlLFpVQxsg	UCtVd0c0tGXuTSbU5d8cSBUg	pp	true	YouTube Creators	10
UCeNZlh03MyUkjRlLFpVQxsg	UCfFyYRYslvuhwMDnx6KjUvw	pp	true	YouTube Creators	10
UCEN58iXQg82TXgsDCjWqIkg	UCBR8-60-B28hp2BmDPdntcQ	pp	true	YouTube Trends	5
UCEN58iXQg82TXgsDCjWqIkg	UCMDQxm7cUx3yXkfeHa5zJIQ	pp	true	YouTube Trends	5
UCEN58iXQg82TXgsDCjWqIkg	UCkRfArvrzheW2E7b6SVT7vQ	pp	true	YouTube Trends	5
UCEN58iXQg82TXgsDCjWqIkg	UCUZHFZ9jIKrLroW8LcyJEQQ	pp	true	YouTube Trends	5
UCEN58iXQg82TXgsDCjWqIkg	UCeNZlh03MyUkjRlLFpVQxsg	pp	true	YouTube Trends	5
UCEN58iXQg82TXgsDCjWqIkg	UCgl9rHdm9KojNRWs56QI_hg	pp	true	YouTube Trends	5
UCEN58iXQg82TXgsDCjWqIkg	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true	YouTube Trends	5
UCEN58iXQg82TXgsDCjWqIkg	UCwzySbzUWiKqG84jOnbeB1w	pp	true	YouTube Trends	5
UCtVd0c0tGXuTSbU5d8cSBUg	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true	YouTube Advertisers	5
UCfFyYRYslvuhwMDnx6KjUvw	UCBR8-60-B28hp2BmDPdntcQ	pp	true	YouTube for Developers	2
UCfFyYRYslvuhwMDnx6KjUvw	UCkRfArvrzheW2E7b6SVT7vQ	pp	true	YouTube for Developers	2
UCfFyYRYslvuhwMDnx6KjUvw	UCeNZlh03MyUkjRlLFpVQxsg	pp	true	YouTube for Developers	2
UCfFyYRYslvuhwMDnx6KjUvw	UCFJcu7Lj_qmYuPhMAerryUA	pp	true	YouTube for Developers	2
UCfFyYRYslvuhwMDnx6KjUvw	UCSmyV6P8_ir9EV4Z4tYA2QA	pp	true	YouTube for Developers	2
UCfFyYRYslvuhwMDnx6KjUvw	UCGn7dlcAmH44GqycKa_3ssA	pp	true	YouTube for Developers	2
UCfFyYRYslvuhwMDnx6KjUvw	UCGnX8ABNZYuZrhzT-sJVaeg	pp	true	YouTube for Developers	2
UCyF-6wI0EoKAe7nZqlIOrOA	UCh5Yo6HN5b2Hco70HosIzZA	pp	true	YouTube Social Impact	4
